record_id,marketing_original_source,marketing_latest_source,device,country,lead_source_detail,visitor_type,destination_interest,budget_range,travel_group_type,trip_duration,budget_level,currency,age_bracket,lead_type,booking_intent,enquiry_touchpoints,form_submissions,page_interactions,unknown_engagement_1,total_visits,total_sessions,average_pageviews,number_of_pageviews,number_of_sessions,time_on_site,engagement_score,sales_activity_count,qualified_flag,interaction_depth,pipeline_stage_num,total_activities,deal_progress,nurture_score,readiness_score,target_conv_prob,target_profit
192101810608,PAID_SOCIAL,PAID_SOCIAL,Mobile,Uzbekistan,From a friend,Unknown,KENYA,NOTSURE,FRIENDS,10 Days,notsure,Unknown,Unknown,Unknown,"Help me plan, so I can book later",2.0,0.0,2.0,0.0,2.0,2.0,3.0,3.0,1.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037852632813155,56853.953125
187910798497,AI_REFERRALS,PAID_SEARCH,Mobile,United Kingdom,Social Media,FIRST_VISITOR_NO_RESEARCH,Unknown,NOTSURE,SOLO,Less than One Week,notsure,Unknown,35-54,New enquiry,Help me research,1.0,0.0,1.0,0.0,2.0,2.0,9.0,19.0,2.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0256211534142494,46032.94921875
192101812905,PAID_SOCIAL,PAID_SOCIAL,Mobile,Philippines,Unknown,Unknown,KENYA,NOTSURE,SOLO,10 Days,notsure,Unknown,18-34,Unknown,Unknown,1.0,0.0,1.0,0.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0228565838187932,64591.765625
192100140918,PAID_SEARCH,REFERRALS,Mobile,Canada,Google or other search,FIRST_VISITOR_NO_RESEARCH,SOUTH AFRICA;KENYA,5000 - 10000 CAD,PARTNER,Less than One Week,low,CAD,18-34,Unknown,Help me compare prices,2.0,0.0,2.0,0.0,2.0,2.0,1.0,3.0,2.0,78.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0051351385191082,50077.1875
192082891308,EMAIL_MARKETING,EMAIL_MARKETING,Desktop,United States,Google or other search,FIRST_VISITOR_NO_RESEARCH,SOUTH AFRICA;OPEN TO IDEAS,4000 - 7000 USD,PARTNER,10 Days,low,USD,35-54,New enquiry,"Help me plan, so I can book later",2.0,0.0,2.0,0.0,2.0,2.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.006612641736865,61835.5
189529022854,PAID_SOCIAL,PAID_SOCIAL,Mobile,United States,Social Media,FIRST_VISITOR_NO_RESEARCH,KENYA;TANZANIA,4000 - 7000 USD,FAMILY,10 Days,low,USD,35-54,New enquiry,"Help me plan, so I can book later",4.0,1.0,5.0,1.0,2.0,2.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0027329288423061,114859.734375
72894587291,PAID_SEARCH,EMAIL_MARKETING,Desktop,United States,Google or other search,FIRST_VISITOR_NO_RESEARCH,KENYA;TANZANIA,5000 - 7500 USD,PARTNER,10 Days,low,USD,55+,Repeat enquiry,Help me book my vacation,2.0,0.0,2.0,0.0,6.0,3.0,2.0,21.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1036644577980041,73076.0546875
166222461245,PAID_SEARCH,DIRECT_TRAFFIC,Desktop,United States,Google or other search,PREVIOUS_VISITOR_ONCE,KENYA;BOTSWANA;TANZANIA;NAMIBIA;RWANDA;ZIMBABWE,10000+ USD,PARTNER,2 Weeks +,high,USD,55+,Repeat enquiry,"Help me plan, so I can book later",2.0,0.0,2.0,0.0,5.0,4.0,3.0,66.0,19.0,192.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.1700435131788253,251276.359375
174355781550,PAID_SEARCH,REFERRALS,Mobile,United States,Unknown,Unknown,KENYA;MADAGASCAR,10000+ USD,FAMILY,2 Weeks +,high,USD,Unknown,New enquiry,Unknown,2.0,0.0,2.0,0.0,1.0,1.0,1.0,3.0,2.0,52.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0055374475196003,185967.65625
171170484245,PAID_SEARCH,REFERRALS,Desktop,Australia,Unknown,Unknown,SOUTH AFRICA,5500 - 11000 AUD,FRIENDS,Less than One Week,low,AUD,Unknown,New enquiry,Unknown,6.0,0.0,6.0,0.0,1.0,1.0,2.0,5.0,2.0,52.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0135626625269651,158076.40625
170342897314,DIRECT_TRAFFIC,DIRECT_TRAFFIC,Mobile,Spain,Google or other search,PREVIOUS_VISITOR_ONCE,BOTSWANA;ZIMBABWE;SOUTH AFRICA,7000 - 10000 EUR,FAMILY,2 Weeks,med,EUR,35-54,New enquiry,Help me book my vacation,4.0,1.0,5.0,1.0,2.0,2.0,2.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0193204600363969,151132.46875
169154516021,ORGANIC_SEARCH,ORGANIC_SEARCH,Desktop,United Kingdom,Google or other search,FIRST_VISITOR_NO_RESEARCH,SOUTH AFRICA,7000 - 10000 GBP,FAMILY,Less than One Week,med,GBP,35-54,New enquiry,Help me compare prices,4.0,1.0,5.0,1.0,2.0,2.0,9.0,9.0,1.0,101.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.03826205432415,99403.5625
137086363829,DIRECT_TRAFFIC,DIRECT_TRAFFIC,Desktop,United States,Unknown,Unknown,OPEN TO IDEAS,7000 - 10000 USD,FAMILY,2 Weeks,med,USD,Unknown,New enquiry,Unknown,2.0,0.0,2.0,0.0,2.0,2.0,2.0,5.0,2.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1210534051060676,103067.078125
173630448922,DIRECT_TRAFFIC,DIRECT_TRAFFIC,Mobile,New Zealand,Google or other search,FIRST_VISITOR_NO_RESEARCH,KENYA,7000 - 10000 USD,SOLO,Less than One Week,med,USD,55+,New enquiry,Help me book my vacation,1.0,0.0,1.0,0.0,2.0,2.0,2.0,5.0,1.0,166.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0442148819565773,65297.45703125
174283542447,DIRECT_TRAFFIC,DIRECT_TRAFFIC,Mobile,United States,Unknown,Unknown,KENYA,7000 - 10000 USD,FRIENDS,10 Days,med,USD,Unknown,New enquiry,Unknown,2.0,0.0,2.0,0.0,1.0,1.0,2.0,5.0,1.0,52.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061740381643176,80400.984375
